panel_uid,n_curves,D_range_mV,E_range_mV,E_zero_and_nonzero,E_pos_and_neg
batch0/case5/figure_3__panel_a,2,56.374709631141734,2.4101141186268684,False,False
batch0/case51/figure_2__panel_a,3,3.070857686738755,28.61632838014004,False,False
batch0/case51/figure_2__panel_d,3,5.178048386208289,0.4957391518013705,False,False
batch0/case51/figure_2__panel_f,3,19.514813054775075,33.00245394452436,False,False
batch0/case51/figure_2__panel_g,3,6.697580492289312,24.115678793083536,True,False
batch0/case52/figure_4__panel_a,3,175.64325253481627,215.94838399122506,False,True
batch0/case52/figure_4__panel_e,2,29.8955334820604,114.08358898602839,False,False
batch0/case54/figure_5__panel_b,4,157.1800677503583,6.157346565807163,True,False
batch0/case57/figure_1__panel_g,3,12.983917004695058,205.53646999280144,False,True
batch0/case57/figure_4__panel_a,3,40.51594786214237,10.357584502487926,True,False
batch0/case58/figure_5__panel_a,3,381.3322161556825,238.92996125683914,False,True
batch0/case58/figure_6__panel_j,2,114.54729378032289,8.292642925449927,True,False
batch0/case61/figure_3__panel_a,2,92.12752338045422,8.402977172862792,False,False
batch0/case63/figure_3__panel_a,4,45.279884126495,213.41063363065697,True,True
batch0/case7/figure_4__panel_a,4,132.11753858491863,27.202039316386383,True,False
batch0/case8/figure_3__panel_a,2,65.54198949805144,35.71552669952327,False,True
batch0/case9/figure_3__panel_a,4,98.10350700003279,202.04305893673148,True,False
batch0/case9/figure_3__panel_f,2,1.7246620607012986,2.929359101254994,False,False
batch1/case1/figure_2__panel_a,3,18.740096063002277,2.198186047053241e-05,False,False
batch1/case10/figure_3__panel_a,4,305.06307502849825,195.051665861344,True,False
batch1/case10/figure_3__panel_e,2,33.009796436731875,6.135714485727586,False,False
batch1/case102/figure_3__panel_a,3,389.30704534651585,215.61963599048306,False,True
batch1/case102/figure_3__panel_c,4,263.104042056356,202.9996646509315,False,True
batch1/case103/figure_4__panel_a,4,79.82193784683653,9.278128946390941,True,False
batch1/case104/figure_3__panel_a,2,185.22846526977727,178.81256471264751,False,True
batch1/case105/figure_4__panel_b,2,3.9926230805585448,29.44130637681396,True,False
batch1/case107/figure_4__panel_A,2,1.525487683372397,5.971918426439515e-08,False,False
batch1/case107/figure_4a__panel_A,2,25.267190360553144,207.40296705672725,False,True
batch1/case108/figure_2__panel_D,2,1.6272519450086236,2.119354710433541,False,False
batch1/case108/figure_2a__panel_D,2,21.852825431935,203.68527438719906,True,False
batch1/case109/figure_3__panel_a,2,57.180894055339365,17.1424890994186,False,True
batch1/case109/figure_3__panel_e,2,6.547114649572173,12.871631146485242,True,False
batch1/case11/figure_4__panel_a,3,18.920787905718626,9.104962635463487,True,False
batch1/case12/figure_3__panel_a,3,34.68291240218528,201.60704319933276,True,False
batch1/case12/figure_4__panel_a,3,57.19653838267607,176.25524327696579,False,False
batch1/case17/figure_3__panel_a,2,80.76313210013234,1.6078117384674453,False,False
batch1/case17/figure_3__panel_b,2,0.5194238289855093,2.5700425035927235,False,False
batch1/case2/figure_2__panel_a,3,39.21593617268247,198.7872608987915,True,False
batch1/case2/figure_2__panel_e,2,13.68740221888612,22.165043842163445,True,False
batch1/case21/figure_3__panel_a,2,6.923504654921988,197.89636263076665,True,False
batch1/case22/figure_5__a,8,170.89807871191275,399.9999999950844,False,True
batch1/case23/figure_3__panel_a,2,4.286995173649252,1.0411687866510073,False,False
batch1/case24/figure_4__panel_b,2,4.329794827753918,22.70768590417159,False,False
batch1/case27/figure_4__panel_a,8,177.44879309758448,399.99999995444136,False,True
batch1/case27/figure_5__panel_b,2,11.092576590775778,1.4384603133521523e-05,False,False
batch1/case28/figure_4__panel_a,4,78.4939776986667,107.78840477771418,False,False
batch1/case29/figure_4__panel_a,2,58.92455010432589,199.53057478210775,True,False
batch1/case30/figure_2__a,3,28.240962977316293,14.581911258225864,True,True
batch1/case33/figure_3__panel_d,3,75.31325777923897,46.95377749639438,False,True
batch1/case33/figure_3__panel_g,4,150.17307321518823,199.06252073974727,True,False
batch1/case33/figure_4__panel_e,2,27.699525349991262,186.41141380855095,False,False
batch1/case33/figure_4__panel_h,4,196.75864173397673,172.68875004015558,False,True
batch1/case33/figure_6__panel_f,2,25.301553856768052,134.68783532901693,False,False
batch1/case33/figure_6__panel_g,4,293.7032194250663,87.45598959996121,False,True
batch1/case35/figure_3__panel_d,2,91.52735294673207,153.04974943943847,False,False
batch1/case36/figure_4__panel_a,2,425.5975175315415,1.6616423185448106,False,False
batch1/case39/figure_3__panel_a,5,37.71020474359122,31.1836419530953,True,False
batch1/case4/figure_4__panel_c,6,170.6674373587569,254.91294063114182,False,True
batch1/case43/figure_3__a,3,64.88332365032123,68.85272630940601,False,True
batch1/case45/figure_4__panel_A,2,17.76427449653378,72.77690866017178,False,False
batch1/case49/figure_4__panel_a,2,16.77541146417319,0.4529893067068498,True,False
batch1/case52/figure_3__panel_f,2,72.29313993241827,0.23880847772772995,False,False
batch1/case54/figure_6__panel_a,4,54.3895294650419,182.47757420455963,False,False
batch1/case61/figure_3__panel_a,6,98.89520605263758,214.64311064958818,True,True
batch1/case61/figure_3__panel_e,6,111.87623984144064,222.86360205583773,True,True
batch1/case61/figure_4__panel_a,4,133.85698676597636,147.83201049705917,False,False
batch1/case61/figure_4__panel_c,3,67.70365792077413,19.939701553736022,True,True
batch1/case62/figure_6__panel_a,5,158.93742369718728,234.0831413911576,False,True
batch1/case69/figure_2__a,3,63.85043476115979,235.10679815803786,False,True
batch1/case71/figure_3__panel_a,2,9.981018564199601,14.997437612847209,False,False
batch1/case74/figure_4__panel_a,4,6.198982696806262,82.35950466743391,True,False
batch1/case79/figure_4__panel_d,2,32.68688282051579,6.913839886681263,True,False
batch1/case82/figure_4__panel_a,6,120.3611846386062,218.92015786936898,True,True
batch1/case82/figure_4__panel_c,5,86.03076962985348,31.511291614617303,True,False
batch1/case84/figure_3__panel_a,2,0.030699777932554184,5.461634235382834,True,False
batch1/case84/figure_3__panel_g,2,12.80553829379744,0.9246979912466999,True,False
batch1/case84/figure_3__panel_h,4,121.90016998967968,39.38969688904718,True,True
batch1/case85/figure_3__panel_a,2,23.200771072247022,4.878041825016979,True,False
batch1/case85/figure_3__panel_f,3,41.05505013239946,17.880575283944275,True,False
batch1/case87/figure_3__panel_a,2,22.05045767874757,235.86143637750075,False,True
batch1/case88/figure_3__panel_a,5,180.83090456634136,388.85819661137657,False,True
batch1/case88/figure_3__panel_c,5,292.9610024283384,317.1893555696578,False,True
batch1/case89/figure_3__d,3,25.04588486417144,210.64247982444274,False,True
batch1/case9/figure_4__panel_f,2,6.5017046781807295,10.652783801505885,True,False
batch1/case91/figure_3__panel_a,4,58.364216467435334,231.4435833563082,False,True
batch1/case94/figure_2__panel_a,6,167.809735569449,32.28870576777597,True,False
batch1/case94/figure_3__a,2,29.792411294896425,196.49190855244922,True,False
batch1/case98/figure_5__panel_a,3,24.215012014649503,81.32283304991041,True,False
batch1/case98/figure_5__panel_c,3,117.04051644697806,0.8485186880317315,False,False
batch2/case100/figure_5__panel_b,6,112.69475108495136,222.24373156386582,False,True
batch2/case109/figure_4__panel_d,5,241.00233481755356,222.3962808594409,True,True
batch2/case114/figure_3__panel_a,3,28.50135921710475,43.961864263083626,False,True
batch2/case117/figure_3__panel_a,2,116.17700844947215,185.14544577639015,False,False
batch2/case118/figure_4__panel_a,4,161.16167986346184,33.05907697377559,True,False
batch2/case118/figure_4__panel_b,5,230.48214257434353,321.49386250126577,True,True
batch2/case119/figure_3__panel_a,3,4.85452926451255,51.051765178669214,True,True
batch2/case119/figure_3__panel_b,3,119.52706302532377,195.9709600372722,True,False
batch2/case119/figure_3__panel_c,3,118.98283951034108,78.60955674571011,True,False
batch2/case121/figure_3__panel_a,3,22.890734842734183,83.0661357193674,False,False
batch2/case128/figure_3__panel_D,2,47.84907346368959,17.653798733380093,False,False
batch2/case128/figure_3__panel_F,2,56.07376947865146,3.4693475394693163,False,False
batch2/case132/figure_4__panel_a,3,4.213682282831922,9.921592436512583e-09,False,False
batch2/case133/figure_5__panel_a,5,162.11225518449137,67.5107070273705,False,False
batch2/case133/figure_5__panel_e,2,46.205355483309006,262.0060161293669,False,True
batch2/case134/figure_3__panel_b,3,14.082568491784848,9.203152824635078,True,False
batch2/case134/figure_6__panel_a,5,59.06234776342033,20.942718417103265,False,False
batch2/case142/figure_2__panel_a,4,43.609793560433936,5.804975904128534,False,False
batch2/case144/figure_4__panel_a,2,51.69678417744673,312.3641826951537,False,True
batch2/case15/figure_3__panel_a,2,92.62258757822961,30.017763509669553,False,False
batch2/case15/figure_3__panel_e,2,9.262567092424433,245.2979894656771,False,True
batch2/case153/figure_4__a,5,415.55969108199787,303.7301398918603,False,True
batch2/case155/figure_3__panel_a,2,7.709573344906346,0.16324665588439302,False,False
batch2/case155/figure_3__panel_d,2,15.290742838722018,81.72875886856376,False,False
batch2/case155/figure_5__f,2,79.20110072106837,12.763852912949853,False,False
batch2/case156/figure_4__panel_a,2,71.15852725203027,217.44583320877337,False,True
batch2/case158/figure_3__panel_a,4,175.5720786552967,8.707343898352105,False,False
batch2/case161/figure_3__panel_a,7,89.99895472734556,353.039869148949,True,True
batch2/case162/figure_2__panel_a,3,130.87158739388033,304.54352431728387,False,True
batch2/case162/figure_2__panel_d,2,39.66689747635127,290.1793522299161,False,True
batch2/case163/figure_1__panel_a,6,140.81770901782048,399.93833646816006,False,True
batch2/case168/figure_6__panel_e,2,13.68582311434767,199.20438240881944,True,False
batch2/case169/figure_4__panel_a,3,81.63716382026007,96.78610933566462,False,True
batch2/case177/figure_3__a,2,68.90733980708357,3.269859689680743e-07,False,False
batch2/case177/figure_3__d,3,161.28955652733498,217.324722119896,False,True
